Site,Latitude,Longitude,Genetics,Planting,Year
Site,33.7488,-84.3877,-1.8333333333333335,2020-05-01,2020
Site,33.7488,-84.3877,-1.5000000000000002,2020-05-01,2020
Site,33.7488,-84.3877,-1.166666666666667,2020-05-01,2020
Site,33.7488,-84.3877,-0.8333333333333335,2020-05-01,2020
Site,33.7488,-84.3877,-0.5000000000000002,2020-05-01,2020
Site,33.7488,-84.3877,-0.16666666666666696,2020-05-01,2020
Site,33.7488,-84.3877,0.16666666666666652,2020-05-01,2020
Site,33.7488,-84.3877,0.49999999999999956,2020-05-01,2020
Site,33.7488,-84.3877,0.833333333333333,2020-05-01,2020
Site,33.7488,-84.3877,1.1666666666666665,2020-05-01,2020
Site,33.7488,-84.3877,1.4999999999999996,2020-05-01,2020
Site,33.7488,-84.3877,1.833333333333333,2020-05-01,2020
Site,33.7488,-84.3877,2.1666666666666665,2020-05-01,2020
Site,33.7488,-84.3877,2.4999999999999996,2020-05-01,2020
Site,33.7488,-84.3877,2.8333333333333326,2020-05-01,2020
Site,33.7488,-84.3877,3.1666666666666665,2020-05-01,2020
Site,33.7488,-84.3877,3.4999999999999996,2020-05-01,2020
Site,33.7488,-84.3877,3.8333333333333326,2020-05-01,2020
Site,33.7488,-84.3877,4.166666666666666,2020-05-01,2020
Site,33.7488,-84.3877,4.5,2020-05-01,2020
Site,33.7488,-84.3877,4.833333333333332,2020-05-01,2020
Site,33.7488,-84.3877,5.166666666666666,2020-05-01,2020
Site,33.7488,-84.3877,5.5,2020-05-01,2020
Site,33.7488,-84.3877,5.833333333333332,2020-05-01,2020
Site,33.7488,-84.3877,6.166666666666666,2020-05-01,2020
Site,33.7488,-84.3877,6.499999999999998,2020-05-01,2020
Site,33.7488,-84.3877,6.833333333333332,2020-05-01,2020
Site,33.7488,-84.3877,7.166666666666666,2020-05-01,2020
Site,33.7488,-84.3877,7.499999999999998,2020-05-01,2020
Site,33.7488,-84.3877,7.833333333333332,2020-05-01,2020
