Location,Longitude,Latitude,Meters above sea level,Planting date,Plant density,Previous crop
KM,102°40′,25°7′,1896,5/5/2002,62 505,faba
KM,102°40′,25°7′,1897,27/04/2003,62 505,green manure crop
ZT,103°43′,27°20′,1918,4/10/2002,62 505,vegetable
ZT,103°43′,27°20′,1919,4/10/2003,62 505,green manure crop
SL,103°35′,24°25′,1940,26/04/2002,67 500,green manure crop
SL,103°35′,24°25′,1941,19/04/2003,62 505,green manure crop
YJ,103°59′,27°24′,950,4/3/2002,67 500,vegetable
YJ,103°59′,27°24′,951,4/4/2003,62 505,vegetable
QJ,103°40′,25°30′,1850,16/05/2002,67 500,rapeseed
QJ,103°40′,25°30′,1851,8/5/2003,60 030,faba
LP,104°19′,24°59′,1480,14/05/2002,62 505,rapeseed
LP,104°19′,24°59′,1481,21/05/2003,62 505,rapeseed
YX,102°20′,24°30′,1680,12/5/2002,62 505,barley
YX,102°20′,24°30′,1681,9/5/2003,62 505,wheat
CX,101°32′,25°01′,1772,24/04/2002,67 500,green manure crop
CX,101°32′,25°01′,1773,27/04/2003,67 500,wheat
BS,99°0′,24°55′,1870,2/5/2002,62 505,wheat
BS,99°0′,24°55′,1871,3/5/2003,62 505,wheat
LJ,100°26′,26°52′,2400,19/04/2002,67 500,winter fallow
LJ,100°26′,26°52′,2401,16/04/2003,67 500,winter fallow
